duration,energy_mean,energy_std,pitch_mean,pitch_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,source_path_removed,filename,actor_id,gender,emotion
2.304,0.0020832252,0.0020352034,162.7005128807856,71.64156475589022,-790.9495,148.76534,92.42365,61.012093,12.047881,32.83793,22.811178,25.164902,3.401802,26.412874,5.4661026,13.887581,-12.341992,13.465212,-7.7340837,13.658047,-0.17432591,15.093878,2.2974703,11.457298,-13.647157,13.305439,0.69675434,9.943225,-3.4980755,11.819926,,03-01-04-01-02-02-08.wav,8,Female,Sad
1.92,0.019514479,0.014692429,235.7240376918865,45.62011436287403,-521.70337,90.9187,90.30737,46.988556,-19.313831,43.584023,41.153366,31.814556,-13.91851,27.698135,5.858486,17.827646,-4.540429,17.007122,-1.0915143,17.173084,-3.9918203,15.997213,-8.592204,14.727133,-3.6057248,14.169773,-6.410141,14.164452,0.21568385,14.4583,,03-01-03-02-01-02-08.wav,8,Female,Happy
1.632,0.0070777265,0.005300355,220.7020520344988,38.49445187533123,-605.6028,93.98741,107.514305,54.43415,-24.570045,45.65877,35.43477,26.31675,-15.090353,22.953032,1.0143944,20.969584,-18.655327,15.206746,-3.287451,15.104989,-6.4607162,16.67732,-5.4823146,12.962316,-11.958596,12.50672,-6.721857,9.891813,-5.2561483,11.5050745,,03-01-03-01-01-01-08.wav,8,Female,Happy
1.536,0.00969628,0.0078051477,209.1410737347163,32.99009641559605,-582.3093,91.14546,100.13076,49.028004,-21.345154,46.950638,32.893818,30.429022,-14.28884,26.287851,-7.439872,17.682592,-25.521141,16.006645,-10.128827,13.751022,-12.920999,21.566368,-11.332476,13.278775,-9.865866,17.655865,-9.194332,10.196852,-6.857135,8.777167,,03-01-03-01-02-02-08.wav,8,Female,Happy
1.568,0.007764587,0.005796828,206.9507696815454,26.8025491794684,-609.02094,87.34575,107.58785,50.773457,-13.836177,49.091873,37.894226,29.42967,-15.684375,30.10373,-3.2215545,17.430855,-21.250502,17.895515,-9.316038,14.733045,-10.127065,20.15843,-10.778592,14.378373,-12.454316,15.1899,-10.030526,12.641351,-6.391662,9.920614,,03-01-03-01-02-01-08.wav,8,Female,Happy
2.528,0.013108706,0.013048562,256.29040374106603,36.858841743454654,-603.57043,134.5222,74.099106,51.340584,-24.420275,42.18674,29.312689,30.053366,-16.003437,32.589874,-6.3160124,16.709589,-16.467379,19.413258,-10.193462,14.459662,-4.6579676,20.471458,-16.656384,14.713008,-11.084073,14.893644,-10.760202,18.465218,-5.7287264,12.690194,,03-01-03-02-02-02-08.wav,8,Female,Happy
1.568,0.04562012,0.034642857,282.89068796910334,33.8046906574803,-458.11157,92.75685,75.487915,58.95754,-8.252567,42.29183,9.614003,41.677658,-37.675648,34.39596,9.399397,20.665285,-19.311754,19.173529,-17.062216,15.819872,-13.662705,13.201311,-11.752049,16.627687,-10.974111,13.483972,-9.741858,13.01048,-6.9555774,11.970809,,03-01-05-02-02-01-08.wav,8,Female,Angry
2.624,0.011494045,0.015026223,190.45285456787514,80.58231901798939,-640.1064,155.68655,69.00115,60.31854,7.3931155,32.617237,19.376211,31.910946,-13.076929,27.775656,10.836392,16.217825,0.12808216,16.297857,-2.600343,13.504229,-4.887383,12.539031,-0.46008486,14.037428,-3.153623,10.088657,-0.03380663,12.439024,0.13667361,9.114038,,03-01-05-01-01-02-08.wav,8,Female,Angry
1.44,0.016006904,0.010100201,207.78096259354672,28.798367514996976,-551.2359,90.75917,99.9071,72.14632,13.347775,38.957,20.507435,40.004993,-25.285852,30.999357,7.813985,19.516443,-11.6360035,16.63469,-16.92441,14.739403,-16.125935,15.264868,-13.291258,13.854779,-13.677401,12.866331,-7.6726274,12.774749,-8.904745,11.191968,,03-01-05-01-02-01-08.wav,8,Female,Angry
1.632,0.046882525,0.04057457,300.0257562848024,47.90281440812758,-461.5798,104.25764,72.610954,54.09903,-11.623292,50.664875,13.757274,46.441826,-38.061356,38.05186,8.965053,20.11637,-14.030855,17.20713,-19.146807,17.620743,-11.518956,14.982346,-13.229022,16.696974,-9.31142,14.000338,-10.952815,13.194855,-9.009416,12.883213,,03-01-05-02-02-02-08.wav,8,Female,Angry
